worker_name,age,years_experience,monthly_income,avg_claims_per_year,city_risk_index,weather_exposure_index,safety_score,premium
Brooke Vance,65,27.2,29553.96,0.26,1.83,0.86,0.27,2456.04
Tom Long,60,22.7,55879.07,2.29,1.66,0.39,0.38,2851.72
Caroline Stone,40,13.8,61334.88,2.63,1.64,0.81,0.15,3081.46
Steven Smith,58,32.8,82658.77,1.87,1.3,0.19,0.6,1965.83
Daisy Marks,24,0.0,60999.48,3.27,1.49,0.82,0.71,3116.08
Hector Hamilton,45,18.1,47040.68,1.21,1.41,0.91,0.82,1934.39
Jason Mills,48,14.1,48159.37,2.68,1.98,0.83,0.7,3119.71
Tabitha Harper,27,0.0,10217.33,0.36,1.54,0.69,0.87,2029.18
Danielle Mahoney,50,21.7,16619.32,2.77,1.05,0.74,0.67,2358.82
Susan Reeves,65,35.4,74631.39,0.82,1.25,0.41,0.47,1772.09
Brittney Bennett,38,17.3,83950.27,2.01,1.25,0.21,0.17,2375.67
Angela Miller,35,13.8,37177.18,2.16,1.41,0.5,0.19,2718.55
Jeremiah Glover,26,0.6,43642.72,3.2,1.97,0.73,0.43,3375.16
David Hernandez,47,14.6,31209.73,2.21,1.02,0.3,0.49,2222.96
Shane Hill,22,0.0,80350.64,1.74,1.12,0.97,0.15,2838.5
Melissa Morris,44,11.2,46151.31,3.31,1.07,0.86,0.69,2699.4
Jonathan Harrison,27,1.5,46870.63,0.5,1.85,0.45,0.71,2085.33
Nicholas Valdez,54,18.7,70432.42,3.63,1.51,0.25,0.25,2863.27
Stacy Hendrix,36,8.8,65098.84,1.94,0.97,0.73,0.47,2273.3
Joseph Woodward,46,18.7,46823.73,3.06,1.0,0.34,0.69,2286.6
Stephanie Mooney,39,16.5,62975.1,3.87,1.13,0.14,0.86,2579.77
Laurie Brown,52,25.3,15314.87,3.57,1.01,0.73,0.14,2736.16
Andrew Martin,18,0.0,25148.04,1.07,1.81,0.17,0.12,2675.95
Holly English,55,33.6,23339.59,3.61,1.19,0.84,0.12,3013.52
Barbara Davis,25,1.0,49221.45,3.05,1.87,0.38,0.89,2866.77
Matthew Saunders,60,25.7,20907.4,3.39,1.69,0.11,0.73,2752.61
Dale Carr,32,6.0,10580.79,3.98,0.98,0.66,0.25,3268.94
Rachel Harrison,49,20.8,81944.26,0.06,1.7,0.99,0.89,2136.18
Russell Byrd,21,0.0,70458.66,0.99,1.72,0.19,0.14,2411.23
Joseph Green,46,13.9,10562.84,0.09,1.65,0.64,0.27,2250.73
Manuel Mills III,57,30.1,21699.13,1.63,1.41,0.74,0.62,2457.26
Amanda Stewart,52,21.9,42122.36,2.72,1.68,0.52,0.6,2823.32
Jacqueline Ruiz,46,18.2,78791.02,3.97,0.86,0.76,0.79,2729.05
Angela Anderson,18,0.0,53924.03,2.7,1.61,0.39,0.31,2848.91
Stacy Wright,41,12.7,35980.86,3.6,1.01,0.11,0.94,2153.01
Christopher Parker,44,10.9,48549.61,1.12,1.35,0.36,0.99,1930.34
Kimberly Hall,43,16.8,45922.26,0.06,1.72,0.13,0.97,1700.14
Gina Davis,46,14.2,54974.63,3.71,1.44,0.28,0.42,2884.61
Mackenzie Miller,60,25.7,47559.32,2.62,1.31,0.51,0.99,2152.93
Dawn Davis,23,2.8,20078.04,2.58,1.57,0.25,0.76,2463.49
Luis Bates,43,17.3,12651.61,2.42,1.99,0.79,0.7,2889.17
Katrina Eaton,37,11.8,41017.35,2.32,1.05,0.6,0.52,2405.82
Amanda Rodriguez,48,17.0,34699.75,2.38,1.34,0.21,0.39,2324.36
Leslie Long,26,2.5,21797.34,1.01,0.92,0.3,0.29,1887.06
